url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
http://livingsocial.com/deals/48706-10-to-spend-on-frozen-treats,Atlanta,0,10,5,50,822,0,6/26/2011,Sun,2,Specialty Food,17
http://escapes.livingsocial.com/deals/43372-cut-color-conditioning-and-style,Atlanta,0,115,58,50,127,0,6/27/2011,Mon,1,Beauty,6
http://livingsocial.com/deals/45791-90-minute-ghost-tour,Atlanta,1,10,5,50,858,0,6/27/2011,Mon,7,Entertainment,35
http://livingsocial.com/deals/37468-20-to-spend-on-food-and-drink,Atlanta,0,20,10,50,723,0,6/28/2011,Tue,1,Restaurant,11
http://livingsocial.com/deals/63849-30-minute-introductory-flying-lesson,Atlanta,0,79,40,51,407,0,6/29/2011,Wed,1,Entertainment,26
http://livingsocial.com/deals/38252-one-hour-photo-session-with-online-photo-gallery,Atlanta,1,175,125,71,55,0,6/30/2011,Thu,7,Services,1
http://livingsocial.com/deals/71594-11x14-or-16x20-gallery-wrap-canvas-or-collage,Atlanta,0,79,51,65,2073,0,6/30/2011,Thu,2,Services,42
http://livingsocial.com/deals/68179-north-georgia-winery-tour,Atlanta,0,120,61,51,272,0,7/1/2011,Fri,3,Entertainment,50
http://livingsocial.com/deals/33015-one-month-of-unlimited-pilates-classes,Atlanta,0,100,60,60,197,0,7/2/2011,Sat,2,Health,6
http://livingsocial.com/deals/66645-eyebrow-threading-or-wax-or-brazilian-wax,Atlanta,0,17,9,53,234,0,7/3/2011,Sun,1,Beauty,9
http://livingsocial.com/deals/28293-one-adult-ticket-to-masterworks-gala,Boston,0,35,18,51,62,0,3/21/2011,Mon,1,Entertainment,2
http://livingsocial.com/deals/29114-kindermusik-playdate-cd-and-take-home-instrument,Boston,1,30,15,50,86,0,3/21/2011,Mon,7,Entertainment,9
http://livingsocial.com/deals/30977-kickboxing-mixed-martial-arts-or-jiu-jitsu,Boston,0,318,289,91,83,0,3/22/2011,Tue,1,Health,5
http://livingsocial.com/deals/32190-10-to-spend-on-ice-cream-and-ice-cream-cakes,Boston,0,10,5,50,3374,0,3/22/2011,Tue,1,Specialty Food,53
http://livingsocial.com/deals/31384-family-water-park-adventure,Boston,0,450,192,43,275,0,3/23/2011,Wed,7,Getaway,163
http://livingsocial.com/deals/32188-50-to-spend-on-food-and-non-alcoholic-drinks,Boston,0,60,35,58,189,0,3/23/2011,Wed,1,Restaurant,2
http://livingsocial.com/deals/32469-two-hour-sailing-tour-of-boston-harbor,Boston,0,130,65,50,347,0,3/23/2011,Wed,1,Entertainment,24
http://livingsocial.com/deals/30506-five-regular-or-synthetic-oil-changes,Boston,0,124,65,52,58,0,3/24/2011,Thu,1,Services,6
http://livingsocial.com/deals/32633-psychic-reading-or-personalized-astrological-chart,Boston,0,55,30,55,961,0,3/24/2011,Thu,1,Services,26
http://livingsocial.com/deals/31244-two-hour-interior-design-consultation,Boston,0,325,275,85,91,0,3/25/2011,Fri,3,Services,2
http://livingsocial.com/deals/30805-two-non-invasive-liposuction-sessions,Boston,0,800,550,69,233,0,3/25/2011,Fri,3,Health,16
http://livingsocial.com/deals/21328-haircut-and-10-gift-card-toward-future-use,Boston,0,30,15,50,34,0,3/28/2011,Mon,1,Beauty,2
http://livingsocial.com/deals/29092-all-day-mini-golf-range-and-batting-cage-pass,Boston,1,35,20,57,155,0,3/28/2011,Mon,7,Entertainment,6
http://livingsocial.com/deals/33194-one-year-subscription,Boston,0,15,7,47,1710,0,3/28/2011,Mon,1,Services,23
http://livingsocial.com/deals/30571-six-yoga-classes-and-one-boot-camp,Boston,0,130,95,73,165,0,3/29/2011,Tue,2,Health,7
http://livingsocial.com/deals/33471-20-to-spend-on-food-and-non-alcoholic-drinks,Boston,0,20,10,50,652,0,3/29/2011,Tue,1,Restaurant,6
http://livingsocial.com/deals/33811-chemical-peel-or-dysport-for-one-area,Boston,0,150,75,50,49,0,3/30/2011,Wed,1,Beauty,2
http://livingsocial.com/deals/31868-vermont-theatre-vacation,Boston,0,485,200,41,348,0,3/30/2011,Wed,7,Getaway,27
https://livingsocial.com/deals/33415-four-week-pole-dancing-course,Boston,0,90,45,50,566,0,3/30/2011,Wed,1,Health,100
http://livingsocial.com/deals/33941-personalized-canvas-print,Boston,0,56,28,50,343,0,3/31/2011,Thu,2,Retail,9
https://livingsocial.com/deals/34023-ticket-to-notte-tricolore,Boston,0,35,18,51,610,0,3/31/2011,Thu,1,Entertainment,12
